census,rep,native.species,native.density,brome.density,water.treatment,species,plant.density,seed.density,mixture
1,7,Plantago insularis,10,10,250,plantago,10,20,mixture
1,8,Plantago insularis,10,10,250,plantago,9,20,mixture
1,9,Plantago insularis,10,10,250,plantago,10,20,mixture
1,10,Plantago insularis,10,10,250,plantago,7,20,mixture
1,1,Plantago insularis,10,10,330,plantago,8,20,mixture
1,2,Plantago insularis,10,10,330,plantago,9,20,mixture
1,3,Plantago insularis,10,10,330,plantago,10,20,mixture
1,4,Plantago insularis,10,10,330,plantago,10,20,mixture
1,5,Plantago insularis,10,10,330,plantago,10,20,mixture
1,6,Plantago insularis,10,10,330,plantago,9,20,mixture
1,7,Plantago insularis,10,10,330,plantago,9,20,mixture
1,8,Plantago insularis,10,10,330,plantago,10,20,mixture
1,9,Plantago insularis,10,10,330,plantago,10,20,mixture
1,10,Plantago insularis,10,10,330,plantago,10,20,mixture
1,1,Plantago insularis,10,0,80,plantago,7,10,monoculture
1,2,Plantago insularis,10,0,80,plantago,9,10,monoculture
1,3,Plantago insularis,10,0,80,plantago,10,10,monoculture
1,4,Plantago insularis,10,0,80,plantago,10,10,monoculture
1,5,Plantago insularis,10,0,80,plantago,8,10,monoculture
1,6,Plantago insularis,10,0,80,plantago,10,10,monoculture
1,7,Plantago insularis,10,0,80,plantago,8,10,monoculture
1,8,Plantago insularis,10,0,80,plantago,9,10,monoculture
1,9,Plantago insularis,10,0,80,plantago,7,10,monoculture
1,10,Plantago insularis,10,0,80,plantago,7,10,monoculture
1,1,Plantago insularis,10,0,150,plantago,4,10,monoculture
1,2,Plantago insularis,10,0,150,plantago,10,10,monoculture
1,3,Plantago insularis,10,0,150,plantago,8,10,monoculture
1,4,Plantago insularis,10,0,150,plantago,9,10,monoculture
1,5,Plantago insularis,10,0,150,plantago,7,10,monoculture
1,6,Plantago insularis,10,0,150,plantago,10,10,monoculture
1,7,Plantago insularis,10,0,150,plantago,10,10,monoculture
1,8,Plantago insularis,10,0,150,plantago,8,10,monoculture
1,9,Plantago insularis,10,0,150,plantago,9,10,monoculture
1,10,Plantago insularis,10,0,150,plantago,9,10,monoculture
1,1,Plantago insularis,10,0,200,plantago,10,10,monoculture
1,2,Plantago insularis,10,0,200,plantago,10,10,monoculture
1,3,Plantago insularis,10,0,200,plantago,9,10,monoculture
1,4,Plantago insularis,10,0,200,plantago,8,10,monoculture
1,5,Plantago insularis,10,0,200,plantago,9,10,monoculture
1,6,Plantago insularis,10,0,200,plantago,8,10,monoculture
1,7,Plantago insularis,10,0,200,plantago,10,10,monoculture
1,8,Plantago insularis,10,0,200,plantago,4,10,monoculture
1,9,Plantago insularis,10,0,200,plantago,9,10,monoculture
1,10,Plantago insularis,10,0,200,plantago,10,10,monoculture
1,1,Plantago insularis,10,0,250,plantago,10,10,monoculture
1,2,Plantago insularis,10,0,250,plantago,10,10,monoculture
1,3,Plantago insularis,10,0,250,plantago,10,10,monoculture
1,4,Plantago insularis,10,0,250,plantago,10,10,monoculture
1,5,Plantago insularis,10,0,250,plantago,10,10,monoculture
1,6,Plantago insularis,10,0,250,plantago,9,10,monoculture
1,7,Plantago insularis,10,0,250,plantago,10,10,monoculture
1,8,Plantago insularis,10,0,250,plantago,10,10,monoculture
1,9,Plantago insularis,10,0,250,plantago,10,10,monoculture
1,10,Plantago insularis,10,0,250,plantago,10,10,monoculture
1,1,Plantago insularis,10,0,330,plantago,9,10,monoculture
1,2,Plantago insularis,10,0,330,plantago,9,10,monoculture
1,3,Plantago insularis,10,0,330,plantago,7,10,monoculture
1,4,Plantago insularis,10,0,330,plantago,10,10,monoculture
1,5,Plantago insularis,10,0,330,plantago,7,10,monoculture
1,6,Plantago insularis,10,0,330,plantago,9,10,monoculture
1,7,Plantago insularis,10,0,330,plantago,7,10,monoculture
1,8,Plantago insularis,10,0,330,plantago,8,10,monoculture
1,9,Plantago insularis,10,0,330,plantago,9,10,monoculture
1,10,Plantago insularis,10,0,330,plantago,10,10,monoculture
1,1,Salvia columbariae,10,10,80,plantago,0,20,mixture
1,2,Salvia columbariae,10,10,80,plantago,0,20,mixture
1,3,Salvia columbariae,10,10,80,plantago,0,20,mixture
1,4,Salvia columbariae,10,10,80,plantago,0,20,mixture
1,5,Salvia columbariae,10,10,80,plantago,0,20,mixture
1,6,Salvia columbariae,10,10,80,plantago,0,20,mixture
1,7,Salvia columbariae,10,10,80,plantago,0,20,mixture
1,8,Salvia columbariae,10,10,80,plantago,0,20,mixture
1,9,Salvia columbariae,10,10,80,plantago,0,20,mixture
1,10,Salvia columbariae,10,10,80,plantago,0,20,mixture
1,1,Salvia columbariae,10,10,150,plantago,0,20,mixture
1,2,Salvia columbariae,10,10,150,plantago,0,20,mixture
1,3,Salvia columbariae,10,10,150,plantago,0,20,mixture
1,4,Salvia columbariae,10,10,150,plantago,0,20,mixture
1,5,Salvia columbariae,10,10,150,plantago,0,20,mixture
1,6,Salvia columbariae,10,10,150,plantago,0,20,mixture
1,7,Salvia columbariae,10,10,150,plantago,0,20,mixture
1,8,Salvia columbariae,10,10,150,plantago,0,20,mixture
1,9,Salvia columbariae,10,10,150,plantago,0,20,mixture
1,10,Salvia columbariae,10,10,150,plantago,0,20,mixture
1,1,Salvia columbariae,10,10,200,plantago,0,20,mixture
1,2,Salvia columbariae,10,10,200,plantago,0,20,mixture
1,3,Salvia columbariae,10,10,200,plantago,0,20,mixture
1,4,Salvia columbariae,10,10,200,plantago,0,20,mixture
1,5,Salvia columbariae,10,10,200,plantago,0,20,mixture
1,6,Salvia columbariae,10,10,200,plantago,0,20,mixture
1,7,Salvia columbariae,10,10,200,plantago,0,20,mixture
1,8,Salvia columbariae,10,10,200,plantago,0,20,mixture
1,9,Salvia columbariae,10,10,200,plantago,0,20,mixture
1,10,Salvia columbariae,10,10,200,plantago,0,20,mixture
1,1,Salvia columbariae,10,10,250,plantago,0,20,mixture
1,2,Salvia columbariae,10,10,250,plantago,0,20,mixture
1,3,Salvia columbariae,10,10,250,plantago,0,20,mixture
1,4,Salvia columbariae,10,10,250,plantago,0,20,mixture
1,5,Salvia columbariae,10,10,250,plantago,0,20,mixture
1,6,Salvia columbariae,10,10,250,plantago,0,20,mixture
1,7,Salvia columbariae,10,10,250,plantago,0,20,mixture
1,8,Salvia columbariae,10,10,250,plantago,0,20,mixture
1,9,Salvia columbariae,10,10,250,plantago,0,20,mixture
1,10,Salvia columbariae,10,10,250,plantago,0,20,mixture
1,1,Salvia columbariae,10,10,330,plantago,0,20,mixture
1,2,Salvia columbariae,10,10,330,plantago,0,20,mixture
1,3,Salvia columbariae,10,10,330,plantago,0,20,mixture
1,4,Salvia columbariae,10,10,330,plantago,0,20,mixture
1,5,Salvia columbariae,10,10,330,plantago,0,20,mixture
1,6,Salvia columbariae,10,10,330,plantago,0,20,mixture
1,7,Salvia columbariae,10,10,330,plantago,0,20,mixture
1,8,Salvia columbariae,10,10,330,plantago,0,20,mixture
1,9,Salvia columbariae,10,10,330,plantago,0,20,mixture
1,10,Salvia columbariae,10,10,330,plantago,0,20,mixture
1,1,Salvia columbariae,10,0,80,plantago,0,10,monoculture
1,2,Salvia columbariae,10,0,80,plantago,0,10,monoculture
1,3,Salvia columbariae,10,0,80,plantago,0,10,monoculture
1,4,Salvia columbariae,10,0,80,plantago,0,10,monoculture
1,5,Salvia columbariae,10,0,80,plantago,0,10,monoculture
1,6,Salvia columbariae,10,0,80,plantago,0,10,monoculture
1,7,Salvia columbariae,10,0,80,plantago,0,10,monoculture
1,8,Salvia columbariae,10,0,80,plantago,0,10,monoculture
1,9,Salvia columbariae,10,0,80,plantago,0,10,monoculture
1,10,Salvia columbariae,10,0,80,plantago,0,10,monoculture
1,1,Salvia columbariae,10,0,150,plantago,0,10,monoculture
1,2,Salvia columbariae,10,0,150,plantago,0,10,monoculture
1,3,Salvia columbariae,10,0,150,plantago,0,10,monoculture
1,4,Salvia columbariae,10,0,150,plantago,0,10,monoculture
1,5,Salvia columbariae,10,0,150,plantago,0,10,monoculture
1,6,Salvia columbariae,10,0,150,plantago,0,10,monoculture
1,7,Salvia columbariae,10,0,150,plantago,0,10,monoculture
1,8,Salvia columbariae,10,0,150,plantago,0,10,monoculture
1,9,Salvia columbariae,10,0,150,plantago,0,10,monoculture
1,10,Salvia columbariae,10,0,150,plantago,0,10,monoculture
1,1,Salvia columbariae,10,0,200,plantago,0,10,monoculture
1,2,Salvia columbariae,10,0,200,plantago,0,10,monoculture
1,3,Salvia columbariae,10,0,200,plantago,0,10,monoculture
1,4,Salvia columbariae,10,0,200,plantago,0,10,monoculture
1,5,Salvia columbariae,10,0,200,plantago,0,10,monoculture
1,6,Salvia columbariae,10,0,200,plantago,0,10,monoculture
1,7,Salvia columbariae,10,0,200,plantago,0,10,monoculture
1,8,Salvia columbariae,10,0,200,plantago,0,10,monoculture
1,9,Salvia columbariae,10,0,200,plantago,0,10,monoculture
1,10,Salvia columbariae,10,0,200,plantago,0,10,monoculture
1,1,Salvia columbariae,10,0,250,plantago,0,10,monoculture
1,2,Salvia columbariae,10,0,250,plantago,0,10,monoculture
1,3,Salvia columbariae,10,0,250,plantago,0,10,monoculture
1,4,Salvia columbariae,10,0,250,plantago,0,10,monoculture
1,5,Salvia columbariae,10,0,250,plantago,0,10,monoculture
1,6,Salvia columbariae,10,0,250,plantago,0,10,monoculture
1,7,Salvia columbariae,10,0,250,plantago,0,10,monoculture
1,8,Salvia columbariae,10,0,250,plantago,0,10,monoculture
1,9,Salvia columbariae,10,0,250,plantago,0,10,monoculture
1,10,Salvia columbariae,10,0,250,plantago,0,10,monoculture
1,1,Salvia columbariae,10,0,330,plantago,0,10,monoculture
1,2,Salvia columbariae,10,0,330,plantago,0,10,monoculture
1,3,Salvia columbariae,10,0,330,plantago,0,10,monoculture
1,4,Salvia columbariae,10,0,330,plantago,0,10,monoculture
1,5,Salvia columbariae,10,0,330,plantago,0,10,monoculture
1,6,Salvia columbariae,10,0,330,plantago,0,10,monoculture
1,7,Salvia columbariae,10,0,330,plantago,0,10,monoculture
1,8,Salvia columbariae,10,0,330,plantago,0,10,monoculture
1,9,Salvia columbariae,10,0,330,plantago,0,10,monoculture
1,10,Salvia columbariae,10,0,330,plantago,0,10,monoculture
1,1,Phacelia tancetifolia,10,10,80,plantago,0,20,mixture
1,2,Phacelia tancetifolia,10,10,80,plantago,0,20,mixture
1,3,Phacelia tancetifolia,10,10,80,plantago,0,20,mixture
1,4,Phacelia tancetifolia,10,10,80,plantago,0,20,mixture
1,5,Phacelia tancetifolia,10,10,80,plantago,0,20,mixture
1,6,Phacelia tancetifolia,10,10,80,plantago,0,20,mixture
1,7,Phacelia tancetifolia,10,10,80,plantago,0,20,mixture
1,8,Phacelia tancetifolia,10,10,80,plantago,0,20,mixture
1,9,Phacelia tancetifolia,10,10,80,plantago,0,20,mixture
1,10,Phacelia tancetifolia,10,10,80,plantago,0,20,mixture
1,1,Phacelia tancetifolia,10,10,150,plantago,0,20,mixture
1,2,Phacelia tancetifolia,10,10,150,plantago,0,20,mixture
1,3,Phacelia tancetifolia,10,10,150,plantago,0,20,mixture
1,4,Phacelia tancetifolia,10,10,150,plantago,0,20,mixture
1,5,Phacelia tancetifolia,10,10,150,plantago,0,20,mixture
1,6,Phacelia tancetifolia,10,10,150,plantago,0,20,mixture
1,7,Phacelia tancetifolia,10,10,150,plantago,0,20,mixture
1,8,Phacelia tancetifolia,10,10,150,plantago,0,20,mixture
1,9,Phacelia tancetifolia,10,10,150,plantago,0,20,mixture
1,10,Phacelia tancetifolia,10,10,150,plantago,0,20,mixture
1,1,Phacelia tancetifolia,10,10,200,plantago,0,20,mixture
1,2,Phacelia tancetifolia,10,10,200,plantago,0,20,mixture
1,3,Phacelia tancetifolia,10,10,200,plantago,0,20,mixture
1,4,Phacelia tancetifolia,10,10,200,plantago,0,20,mixture
1,5,Phacelia tancetifolia,10,10,200,plantago,0,20,mixture
1,6,Phacelia tancetifolia,10,10,200,plantago,0,20,mixture
1,7,Phacelia tancetifolia,10,10,200,plantago,0,20,mixture
1,8,Phacelia tancetifolia,10,10,200,plantago,0,20,mixture
1,9,Phacelia tancetifolia,10,10,200,plantago,0,20,mixture
1,10,Phacelia tancetifolia,10,10,200,plantago,0,20,mixture
1,1,Phacelia tancetifolia,10,10,250,plantago,0,20,mixture
1,2,Phacelia tancetifolia,10,10,250,plantago,0,20,mixture
1,3,Phacelia tancetifolia,10,10,250,plantago,0,20,mixture
1,4,Phacelia tancetifolia,10,10,250,plantago,0,20,mixture
1,5,Phacelia tancetifolia,10,10,250,plantago,0,20,mixture
1,6,Phacelia tancetifolia,10,10,250,plantago,0,20,mixture
1,7,Phacelia tancetifolia,10,10,250,plantago,0,20,mixture
1,8,Phacelia tancetifolia,10,10,250,plantago,0,20,mixture
1,9,Phacelia tancetifolia,10,10,250,plantago,0,20,mixture
1,10,Phacelia tancetifolia,10,10,250,plantago,0,20,mixture
1,1,Phacelia tancetifolia,10,10,330,plantago,0,20,mixture
1,2,Phacelia tancetifolia,10,10,330,plantago,0,20,mixture
1,3,Phacelia tancetifolia,10,10,330,plantago,0,20,mixture
1,4,Phacelia tancetifolia,10,10,330,plantago,0,20,mixture
1,5,Phacelia tancetifolia,10,10,330,plantago,0,20,mixture
1,6,Phacelia tancetifolia,10,10,330,plantago,0,20,mixture
1,7,Phacelia tancetifolia,10,10,330,plantago,0,20,mixture
1,8,Phacelia tancetifolia,10,10,330,plantago,0,20,mixture
1,9,Phacelia tancetifolia,10,10,330,plantago,0,20,mixture
1,10,Phacelia tancetifolia,10,10,330,plantago,0,20,mixture
1,1,Phacelia tancetifolia,10,0,80,plantago,0,10,monoculture
1,2,Phacelia tancetifolia,10,0,80,plantago,0,10,monoculture
1,3,Phacelia tancetifolia,10,0,80,plantago,0,10,monoculture
1,4,Phacelia tancetifolia,10,0,80,plantago,0,10,monoculture
1,5,Phacelia tancetifolia,10,0,80,plantago,0,10,monoculture
1,6,Phacelia tancetifolia,10,0,80,plantago,0,10,monoculture
1,7,Phacelia tancetifolia,10,0,80,plantago,0,10,monoculture
1,8,Phacelia tancetifolia,10,0,80,plantago,0,10,monoculture
1,9,Phacelia tancetifolia,10,0,80,plantago,0,10,monoculture
1,10,Phacelia tancetifolia,10,0,80,plantago,0,10,monoculture
1,1,Phacelia tancetifolia,10,0,150,plantago,0,10,monoculture
1,2,Phacelia tancetifolia,10,0,150,plantago,0,10,monoculture
1,3,Phacelia tancetifolia,10,0,150,plantago,0,10,monoculture
1,4,Phacelia tancetifolia,10,0,150,plantago,0,10,monoculture
1,5,Phacelia tancetifolia,10,0,150,plantago,0,10,monoculture
1,6,Phacelia tancetifolia,10,0,150,plantago,0,10,monoculture
1,7,Phacelia tancetifolia,10,0,150,plantago,0,10,monoculture
1,8,Phacelia tancetifolia,10,0,150,plantago,0,10,monoculture
1,9,Phacelia tancetifolia,10,0,150,plantago,0,10,monoculture
1,10,Phacelia tancetifolia,10,0,150,plantago,0,10,monoculture
1,1,Phacelia tancetifolia,10,0,200,plantago,0,10,monoculture
1,2,Phacelia tancetifolia,10,0,200,plantago,0,10,monoculture
1,3,Phacelia tancetifolia,10,0,200,plantago,0,10,monoculture
1,4,Phacelia tancetifolia,10,0,200,plantago,0,10,monoculture
1,5,Phacelia tancetifolia,10,0,200,plantago,0,10,monoculture
1,6,Phacelia tancetifolia,10,0,200,plantago,0,10,monoculture
1,7,Phacelia tancetifolia,10,0,200,plantago,0,10,monoculture
1,8,Phacelia tancetifolia,10,0,200,plantago,0,10,monoculture
1,9,Phacelia tancetifolia,10,0,200,plantago,0,10,monoculture
1,10,Phacelia tancetifolia,10,0,200,plantago,0,10,monoculture
1,1,Phacelia tancetifolia,10,0,250,plantago,0,10,monoculture
1,2,Phacelia tancetifolia,10,0,250,plantago,0,10,monoculture
1,3,Phacelia tancetifolia,10,0,250,plantago,0,10,monoculture
1,4,Phacelia tancetifolia,10,0,250,plantago,0,10,monoculture
1,5,Phacelia tancetifolia,10,0,250,plantago,0,10,monoculture
1,6,Phacelia tancetifolia,10,0,250,plantago,0,10,monoculture
1,7,Phacelia tancetifolia,10,0,250,plantago,0,10,monoculture
1,8,Phacelia tancetifolia,10,0,250,plantago,0,10,monoculture
1,9,Phacelia tancetifolia,10,0,250,plantago,0,10,monoculture
1,10,Phacelia tancetifolia,10,0,250,plantago,0,10,monoculture
1,1,Phacelia tancetifolia,10,0,330,plantago,0,10,monoculture
1,2,Phacelia tancetifolia,10,0,330,plantago,0,10,monoculture
1,3,Phacelia tancetifolia,10,0,330,plantago,0,10,monoculture
1,4,Phacelia tancetifolia,10,0,330,plantago,0,10,monoculture
1,5,Phacelia tancetifolia,10,0,330,plantago,0,10,monoculture
1,6,Phacelia tancetifolia,10,0,330,plantago,0,10,monoculture
1,7,Phacelia tancetifolia,10,0,330,plantago,0,10,monoculture
1,8,Phacelia tancetifolia,10,0,330,plantago,0,10,monoculture
1,9,Phacelia tancetifolia,10,0,330,plantago,0,10,monoculture
1,10,Phacelia tancetifolia,10,0,330,plantago,0,10,monoculture
2,1,Plantago insularis,10,10,80,plantago,8,20,mixture
2,2,Plantago insularis,10,10,80,plantago,10,20,mixture
2,3,Plantago insularis,10,10,80,plantago,10,20,mixture
2,4,Plantago insularis,10,10,80,plantago,7,20,mixture
2,5,Plantago insularis,10,10,80,plantago,7,20,mixture
2,6,Plantago insularis,10,10,80,plantago,6,20,mixture
2,7,Plantago insularis,10,10,80,plantago,9,20,mixture
2,8,Plantago insularis,10,10,80,plantago,9,20,mixture
2,9,Plantago insularis,10,10,80,plantago,8,20,mixture
2,10,Plantago insularis,10,10,80,plantago,6,20,mixture
2,1,Plantago insularis,10,10,150,plantago,7,20,mixture
2,2,Plantago insularis,10,10,150,plantago,8,20,mixture
2,3,Plantago insularis,10,10,150,plantago,9,20,mixture
2,4,Plantago insularis,10,10,150,plantago,8,20,mixture
2,5,Plantago insularis,10,10,150,plantago,7,20,mixture
2,6,Plantago insularis,10,10,150,plantago,8,20,mixture
2,7,Plantago insularis,10,10,150,plantago,7,20,mixture
2,8,Plantago insularis,10,10,150,plantago,8,20,mixture
2,9,Plantago insularis,10,10,150,plantago,8,20,mixture
2,10,Plantago insularis,10,10,150,plantago,9,20,mixture
2,1,Plantago insularis,10,10,200,plantago,8,20,mixture
2,2,Plantago insularis,10,10,200,plantago,9,20,mixture
2,3,Plantago insularis,10,10,200,plantago,8,20,mixture
2,4,Plantago insularis,10,10,200,plantago,9,20,mixture
2,5,Plantago insularis,10,10,200,plantago,8,20,mixture
2,6,Plantago insularis,10,10,200,plantago,9,20,mixture
2,7,Plantago insularis,10,10,200,plantago,9,20,mixture
2,8,Plantago insularis,10,10,200,plantago,10,20,mixture
2,9,Plantago insularis,10,10,200,plantago,10,20,mixture
2,10,Plantago insularis,10,10,200,plantago,9,20,mixture
2,1,Plantago insularis,10,10,250,plantago,10,20,mixture
2,2,Plantago insularis,10,10,250,plantago,10,20,mixture
2,3,Plantago insularis,10,10,250,plantago,7,20,mixture
2,4,Plantago insularis,10,10,250,plantago,9,20,mixture
2,5,Plantago insularis,10,10,250,plantago,9,20,mixture
2,6,Plantago insularis,10,10,250,plantago,9,20,mixture
2,7,Plantago insularis,10,10,250,plantago,10,20,mixture
2,8,Plantago insularis,10,10,250,plantago,9,20,mixture
2,9,Plantago insularis,10,10,250,plantago,8,20,mixture
2,10,Plantago insularis,10,10,250,plantago,10,20,mixture
2,1,Plantago insularis,10,10,330,plantago,8,20,mixture
2,2,Plantago insularis,10,10,330,plantago,9,20,mixture
2,3,Plantago insularis,10,10,330,plantago,10,20,mixture
2,4,Plantago insularis,10,10,330,plantago,10,20,mixture
2,5,Plantago insularis,10,10,330,plantago,8,20,mixture
2,6,Plantago insularis,10,10,330,plantago,10,20,mixture
2,7,Plantago insularis,10,10,330,plantago,10,20,mixture
2,8,Plantago insularis,10,10,330,plantago,10,20,mixture
2,9,Plantago insularis,10,10,330,plantago,10,20,mixture
2,10,Plantago insularis,10,10,330,plantago,9,20,mixture
2,1,Plantago insularis,10,0,80,plantago,6,10,monoculture
2,2,Plantago insularis,10,0,80,plantago,8,10,monoculture
2,3,Plantago insularis,10,0,80,plantago,7,10,monoculture
2,4,Plantago insularis,10,0,80,plantago,6,10,monoculture
2,5,Plantago insularis,10,0,80,plantago,7,10,monoculture
2,6,Plantago insularis,10,0,80,plantago,8,10,monoculture
2,7,Plantago insularis,10,0,80,plantago,6,10,monoculture
2,8,Plantago insularis,10,0,80,plantago,9,10,monoculture
2,9,Plantago insularis,10,0,80,plantago,6,10,monoculture
2,10,Plantago insularis,10,0,80,plantago,6,10,monoculture
2,1,Plantago insularis,10,0,150,plantago,4,10,monoculture
2,2,Plantago insularis,10,0,150,plantago,9,10,monoculture
2,3,Plantago insularis,10,0,150,plantago,7,10,monoculture
2,4,Plantago insularis,10,0,150,plantago,8,10,monoculture
2,5,Plantago insularis,10,0,150,plantago,6,10,monoculture
2,6,Plantago insularis,10,0,150,plantago,8,10,monoculture
2,7,Plantago insularis,10,0,150,plantago,9,10,monoculture
2,8,Plantago insularis,10,0,150,plantago,8,10,monoculture
2,9,Plantago insularis,10,0,150,plantago,7,10,monoculture
2,10,Plantago insularis,10,0,150,plantago,9,10,monoculture
2,1,Plantago insularis,10,0,200,plantago,10,10,monoculture
2,2,Plantago insularis,10,0,200,plantago,9,10,monoculture
2,3,Plantago insularis,10,0,200,plantago,8,10,monoculture
2,4,Plantago insularis,10,0,200,plantago,7,10,monoculture
2,5,Plantago insularis,10,0,200,plantago,10,10,monoculture
2,6,Plantago insularis,10,0,200,plantago,7,10,monoculture
2,7,Plantago insularis,10,0,200,plantago,8,10,monoculture
2,8,Plantago insularis,10,0,200,plantago,6,10,monoculture
2,9,Plantago insularis,10,0,200,plantago,9,10,monoculture
2,10,Plantago insularis,10,0,200,plantago,9,10,monoculture
2,1,Plantago insularis,10,0,250,plantago,9,10,monoculture
2,2,Plantago insularis,10,0,250,plantago,8,10,monoculture
2,3,Plantago insularis,10,0,250,plantago,9,10,monoculture
2,4,Plantago insularis,10,0,250,plantago,10,10,monoculture
2,5,Plantago insularis,10,0,250,plantago,10,10,monoculture
2,6,Plantago insularis,10,0,250,plantago,8,10,monoculture
2,7,Plantago insularis,10,0,250,plantago,10,10,monoculture
2,8,Plantago insularis,10,0,250,plantago,8,10,monoculture
2,9,Plantago insularis,10,0,250,plantago,7,10,monoculture
2,10,Plantago insularis,10,0,250,plantago,10,10,monoculture
2,1,Plantago insularis,10,0,330,plantago,8,10,monoculture
2,2,Plantago insularis,10,0,330,plantago,10,10,monoculture
2,3,Plantago insularis,10,0,330,plantago,6,10,monoculture
2,4,Plantago insularis,10,0,330,plantago,10,10,monoculture
2,5,Plantago insularis,10,0,330,plantago,8,10,monoculture
2,6,Plantago insularis,10,0,330,plantago,9,10,monoculture
2,7,Plantago insularis,10,0,330,plantago,9,10,monoculture
2,8,Plantago insularis,10,0,330,plantago,8,10,monoculture
2,9,Plantago insularis,10,0,330,plantago,10,10,monoculture
2,10,Plantago insularis,10,0,330,plantago,10,10,monoculture
2,1,Salvia columbariae,10,10,80,plantago,0,20,mixture
2,2,Salvia columbariae,10,10,80,plantago,0,20,mixture
2,3,Salvia columbariae,10,10,80,plantago,0,20,mixture
2,4,Salvia columbariae,10,10,80,plantago,0,20,mixture
2,5,Salvia columbariae,10,10,80,plantago,0,20,mixture
2,6,Salvia columbariae,10,10,80,plantago,0,20,mixture
2,7,Salvia columbariae,10,10,80,plantago,0,20,mixture
2,8,Salvia columbariae,10,10,80,plantago,0,20,mixture
2,9,Salvia columbariae,10,10,80,plantago,0,20,mixture
2,10,Salvia columbariae,10,10,80,plantago,0,20,mixture
2,1,Salvia columbariae,10,10,150,plantago,0,20,mixture
2,2,Salvia columbariae,10,10,150,plantago,0,20,mixture
2,3,Salvia columbariae,10,10,150,plantago,0,20,mixture
2,4,Salvia columbariae,10,10,150,plantago,0,20,mixture
2,5,Salvia columbariae,10,10,150,plantago,0,20,mixture
2,6,Salvia columbariae,10,10,150,plantago,0,20,mixture
2,7,Salvia columbariae,10,10,150,plantago,0,20,mixture
2,8,Salvia columbariae,10,10,150,plantago,0,20,mixture
2,9,Salvia columbariae,10,10,150,plantago,0,20,mixture
2,10,Salvia columbariae,10,10,150,plantago,0,20,mixture
2,1,Salvia columbariae,10,10,200,plantago,0,20,mixture
2,2,Salvia columbariae,10,10,200,plantago,0,20,mixture
2,3,Salvia columbariae,10,10,200,plantago,0,20,mixture
2,4,Salvia columbariae,10,10,200,plantago,0,20,mixture
2,5,Salvia columbariae,10,10,200,plantago,0,20,mixture
2,6,Salvia columbariae,10,10,200,plantago,0,20,mixture
2,7,Salvia columbariae,10,10,200,plantago,0,20,mixture
2,8,Salvia columbariae,10,10,200,plantago,0,20,mixture
2,9,Salvia columbariae,10,10,200,plantago,0,20,mixture
2,10,Salvia columbariae,10,10,200,plantago,0,20,mixture
2,1,Salvia columbariae,10,10,250,plantago,0,20,mixture
2,2,Salvia columbariae,10,10,250,plantago,0,20,mixture
2,3,Salvia columbariae,10,10,250,plantago,0,20,mixture
2,4,Salvia columbariae,10,10,250,plantago,0,20,mixture
2,5,Salvia columbariae,10,10,250,plantago,0,20,mixture
2,6,Salvia columbariae,10,10,250,plantago,0,20,mixture
2,7,Salvia columbariae,10,10,250,plantago,0,20,mixture
2,8,Salvia columbariae,10,10,250,plantago,0,20,mixture
2,9,Salvia columbariae,10,10,250,plantago,0,20,mixture
